url, google maps link, basic info, walking, bicycling, transit,
https://chicago.craigslist.org/nch/apa/d/evanston-3-bedrooms-newly-rehabbed-for/7127350100.html, https://www.google.com/maps/search/42.047747,-87.677271, 3BR  /  2Ba available may 20 application fee details:  $40 Application Fee for Each Resident cats are OK - purrr apartment w/d in unit no smoking attached garage wheelchair accessible, 4 hours 19 mins, 1 hour 23 mins, 1 hour 2 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-virtual-tours-available-on/7127349822.html, https://www.google.com/maps/search/41.934478,-87.640637, 1BR  /  0Ba available aug 1 cats are OK - purrr apartment laundry in bldg, 1 hour 40 mins, 30 mins, 55 mins,
https://chicago.craigslist.org/nch/apa/d/evanston-4-bedrooms-newly-rehabbed-for/7127349533.html, https://www.google.com/maps/search/42.047747,-87.677271, 4BR  /  2Ba available may 20 application fee details:  $40 Application Fee for Each Resident cats are OK - purrr apartment w/d in unit no smoking attached garage wheelchair accessible, 4 hours 19 mins, 1 hour 23 mins, 1 hour 2 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-virtual-tours-available-july/7127349327.html, https://www.google.com/maps/search/41.933008,-87.640019, available jul 1 cats are OK - purrr apartment laundry in bldg, 1 hour 39 mins, 29 mins, 54 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-no-security-depositvirtual-tour/7127348664.html, https://www.google.com/maps/search/41.933008,-87.640019, available jul 1 cats are OK - purrr apartment laundry in bldg, 1 hour 39 mins, 29 mins, 54 mins,
https://chicago.craigslist.org/nwc/apa/d/medinah-available-now-2-bed-1-bath-apt/7127348554.html, https://www.google.com/maps/search/41.994899,-88.060370, 2BR  /  1Ba 967 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg, 8 hours 26 mins, 2 hours 54 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-virtual-tours-granite-stainless/7127347976.html, https://www.google.com/maps/search/41.933008,-87.640019, available jul 1 cats are OK - purrr apartment laundry in bldg, 1 hour 39 mins, 29 mins, 54 mins,
https://chicago.craigslist.org/nwc/apa/d/medinah-get-your-first-full-months-rent/7127347479.html, https://www.google.com/maps/search/41.994899,-88.060370, 2BR  /  1Ba 967 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg, 8 hours 26 mins, 2 hours 54 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-100-private-space-patio-area/7127347485.html, https://www.google.com/maps/search/41.931632,-87.649054, 1BR  /  1Ba cats are OK - purrr apartment laundry in bldg attached garage, 1 hour 29 mins, 26 mins, 40 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-2-bedroom-coach-house-garage/7127344660.html, https://www.google.com/maps/search/41.946400,-87.704200, 2BR  /  2Ba 1600 ft 2 available jul 1 application fee details:  $50 processing, background check dogs are OK - wooof apartment w/d in unit detached garage, 2 hours 15 mins, 40 mins, 54 mins,
